Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
59,2.0,0.0,611.0,19.0,21.0,1775.0,0.0,429.07139266102763,429.07139266102763,0.0,244.56730198860168,,,,,,,,,,,,,,,,120.13071325131666,135.31175067492092,426.97562330605626,-0.05743824901614151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,637.0,20.0,26.0,1801.0,0.0,805.0337001421645,805.0337001421645,0.0,247.35642838478088,,,,,,,,,,,,,,,,299.59241106478254,253.15277556090942,798.0423397942747,-0.041315474606709104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,45.0,1.0,45.0,1846.0,0.0,1025.6639233343226,1025.6639233343226,0.0,291.02469873428345,,,,,,,,,,,,,,,,274.0571192771092,325.3857861945198,1014.3456986655184,-0.1534164463574389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,89.0,2.0,44.0,1890.0,0.0,1282.2518046690886,1282.2518046690886,0.0,294.6887946128845,,,,,,,,,,,,,,,,482.0750027860197,398.96560138803073,1262.302807353858,-0.06636467545922252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,114.0,3.0,25.0,1915.0,0.0,555.0060223482072,555.0060223482072,0.0,297.3726580142975,,,,,,,,,,,,,,,,173.92909232719947,172.8028781391281,551.2090040440715,-0.057431074180168504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,135.0,4.0,21.0,1936.0,0.0,537.5458173383702,537.5458173383702,0.0,299.44907307624817,,,,,,,,,,,,,,,,161.05307192616576,165.86041222502246,534.6984012291499,-0.0502759573321024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,170.0,5.0,35.0,1971.0,0.0,986.0644261895861,986.0644261895861,0.0,302.7122025489807,,,,,,,,,,,,,,,,343.33434487448943,318.1413459667542,975.0227468658452,-0.07170370898376331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,192.0,6.0,22.0,1993.0,0.0,733.1527332039071,733.1527332039071,0.0,304.8505690097809,,,,,,,,,,,,,,,,273.5472982864537,234.92790722569376,727.8625551968023,-0.03594602603094004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,214.0,7.0,22.0,2015.0,0.0,414.4778567484184,414.4778567484184,0.0,307.13401103019714,,,,,,,,,,,,,,,,98.90014700981418,124.51930156332617,412.7147682824852,-0.07708931799274711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,326.0,8.0,112.0,2127.0,0.0,3460.592410222213,3460.592410222213,0.0,315.4900221824646,,,,,,,,,,,,,,,,1414.197930035711,943.4812924842665,3305.507749808022,-0.0574238849729703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
